domain,sources
302br.net,"Integral Ad Science, Inc.; primary"
303net.net,"Integral Ad Science, Inc.; primary"
304br.net,"Integral Ad Science, Inc.; primary"
92.204.164.4-92.204.164,primary
92.42.104.8-92.42.104,primary
admantx.com,"Integral Ad Science, Inc.; primary"
adsafemedia.com,"Integral Ad Science, Inc.; primary"
adsafemedia.net,"Integral Ad Science, Inc.; primary"
adsafemedia.org,"Integral Ad Science, Inc.; primary"
adsafeprotected.com,"Integral Ad Science, Inc.; primary"
adsafeprotected.net,"Integral Ad Science, Inc.; primary"
adsafeprotected.org,"Integral Ad Science, Inc.; primary"
adsavemedia.com,"Integral Ad Science, Inc.; primary"
adsrvrz.com,"Integral Ad Science, Inc.; primary"
aminopay.com,"Integral Ad Science, Inc.; primary"
aminopay.dev,"Integral Ad Science, Inc.; primary"
aminopay.io,"Integral Ad Science, Inc.; primary"
aminopay.me,"Integral Ad Science, Inc.; primary"
aminopay.net,"Integral Ad Science, Inc.; primary"
aminopayment.com,"Integral Ad Science, Inc.; primary"
aminopaymentcloud.com,"Integral Ad Science, Inc.; primary"
aminopaymentcloud.net,"Integral Ad Science, Inc.; primary"
aminopayments.com,"Integral Ad Science, Inc.; primary"
aminopayments.net,"Integral Ad Science, Inc.; primary"
aminopaymentscloud.com,"Integral Ad Science, Inc.; primary"
aminopaymentscloud.net,"Integral Ad Science, Inc.; primary"
apkcar.com,"Integral Ad Science, Inc.; primary"
areyouontraq.net,"Integral Ad Science, Inc.; primary"
as302.com,"Integral Ad Science, Inc.; primary"
as302.net,"Integral Ad Science, Inc.; primary"
buneosite.com,"Integral Ad Science, Inc.; primary"
channel.science,"Integral Ad Science, Inc.; primary"
currencyinc.com,"Integral Ad Science, Inc.; primary"
currencyinc.info,"Integral Ad Science, Inc.; primary"
currencyinc.net,"Integral Ad Science, Inc.; primary"
customviewability.com,"Integral Ad Science, Inc.; primary"
demo-adsafeprotected.com,"Integral Ad Science, Inc.; primary"
dev-adsafeprotected.com,"Integral Ad Science, Inc.; primary"
doubleverifysucks.com,"Integral Ad Science, Inc.; primary"
dvsucks.com,"Integral Ad Science, Inc.; primary"
exploresouthasia.in,"Integral Ad Science, Inc.; primary"
getpublica.com,"Integral Ad Science, Inc.; primary"
iasds01.com,"Integral Ad Science, Inc.; primary"
iassucks.com,"Integral Ad Science, Inc.; primary"
ihateintegraladscience.com,"Integral Ad Science, Inc.; primary"
inegralads.com,"Integral Ad Science, Inc.; primary"
intagralads.com,"Integral Ad Science, Inc.; primary"
integral-test.com,"Integral Ad Science, Inc.; primary"
integralads.ae,"Integral Ad Science, Inc.; primary"
integralads.at,"Integral Ad Science, Inc.; primary"
integralads.biz,"Integral Ad Science, Inc.; primary"
integralads.co.in,"Integral Ad Science, Inc.; primary"
integralads.com,"Integral Ad Science, Inc.; primary"
integralads.com.ph,"Integral Ad Science, Inc.; primary"
integralads.cz,"Integral Ad Science, Inc.; primary"
integralads.in,"Integral Ad Science, Inc.; primary"
integralads.info,"Integral Ad Science, Inc.; primary"
integralads.jp,"Integral Ad Science, Inc.; primary"
integralads.me,"Integral Ad Science, Inc.; primary"
integralads.net,"Integral Ad Science, Inc.; primary"
integralads.org,"Integral Ad Science, Inc.; primary"
integralads.ph,"Integral Ad Science, Inc.; primary"
integralads.ru,"Integral Ad Science, Inc.; primary"
integraladscience.com,"Integral Ad Science, Inc.; primary"
integraladscience.info,"Integral Ad Science, Inc.; primary"
integraladscience.net,"Integral Ad Science, Inc.; primary"
integraladscience.org,"Integral Ad Science, Inc.; primary"
integraladsciences.com,"Integral Ad Science, Inc.; primary"
integraladsciences.info,"Integral Ad Science, Inc.; primary"
integraladsciences.net,"Integral Ad Science, Inc.; primary"
integraladsciences.org,"Integral Ad Science, Inc.; primary"
integraladssucks.com,"Integral Ad Science, Inc.; primary"
integralas.com,"Integral Ad Science, Inc.; primary"
integraldas.com,"Integral Ad Science, Inc.; primary"
integralenterprise.com,"Integral Ad Science, Inc.; primary"
integralplatform.com,"Integral Ad Science, Inc.; primary"
integratedadscience.com,"Integral Ad Science, Inc.; primary"
integrelads.com,"Integral Ad Science, Inc.; primary"
intergalads.com,"Integral Ad Science, Inc.; primary"
intergralads.com,"Integral Ad Science, Inc.; primary"
killthresher.com,"Integral Ad Science, Inc.; primary"
lntegralads.com,"Integral Ad Science, Inc.; primary"
lntegralplatform.com,"Integral Ad Science, Inc.; primary"
mediaqualityreport.com,"Integral Ad Science, Inc.; primary"
moatsucks.com,"Integral Ad Science, Inc.; primary"
nationalglobalrealty.com,"Integral Ad Science, Inc.; primary"
ominitiative.org,"Integral Ad Science, Inc.; primary"
omsdk.org,"Integral Ad Science, Inc.; primary"
onlineconversionlift.com,"Integral Ad Science, Inc.; primary"
publica-ctv.com,"Integral Ad Science, Inc.; primary"
publica-project.com,"Integral Ad Science, Inc.; primary"
publica-ssai.com,"Integral Ad Science, Inc.; primary"
publica-stream.com,"Integral Ad Science, Inc.; primary"
publisheroptimization.com,"Integral Ad Science, Inc.; primary"
simplytics.com,"Integral Ad Science, Inc.; primary"
test-adsafeprotected.com,"Integral Ad Science, Inc.; primary"
time-in-view.com,"Integral Ad Science, Inc.; primary"
timeinview.com,"Integral Ad Science, Inc.; primary"
trimtricks.net,"Integral Ad Science, Inc.; primary"
veenome.com,"Integral Ad Science, Inc.; primary"
wwwintegralads.com,"Integral Ad Science, Inc.; primary"
