domain,sources
1-rakuten.com,"Rakuten Group, Inc."
1-rakuten.jp,"Rakuten Group, Inc."
1-rakuten.net,"Rakuten Group, Inc."
1189.mobi,"Rakuten, Inc."
1rakuten.jp,"Rakuten Group, Inc."
1rakuten.net,"Rakuten Group, Inc."
24-rakuten.com,"Rakuten Group, Inc."
24-rakuten.jp,"Rakuten Group, Inc."
24rakuten.com,"Rakuten Group, Inc."
24rakuten.jp,"Rakuten Group, Inc."
advertisewithrakuten.com,"Rakuten Group, Inc."
ag1.jp,"Rakuten Group, Inc."
aip-sg.com,"Rakuten Group, Inc."
akuten-email.com,"Rakuten Group, Inc."
akuten-email.jp,"Rakuten Group, Inc."
akuten-email.net,"Rakuten Group, Inc."
akuten-mail.com,"Rakuten Group, Inc."
akuten-mail.jp,"Rakuten Group, Inc."
akuten-mail.net,"Rakuten Group, Inc."
akuten-ml.com,"Rakuten Group, Inc."
akuten-ml.jp,"Rakuten Group, Inc."
akuten-ml.net,"Rakuten Group, Inc."
akuten-mobile.com,"Rakuten Group, Inc."
akuten-mobile.jp,"Rakuten Group, Inc."
akuten-mobile.net,"Rakuten Group, Inc."
akuten.jp,"Rakuten Group, Inc."
akuten.net,"Rakuten Group, Inc."
akuten.online,"Rakuten Group, Inc."
akuten.xyz,"Rakuten Group, Inc."
akutenemail.com,"Rakuten Group, Inc."
akutenemail.jp,"Rakuten Group, Inc."
akutenemail.net,"Rakuten Group, Inc."
akutenmail.jp,"Rakuten Group, Inc."
akutenmail.net,"Rakuten Group, Inc."
akutenmailmobile-rakuten.com,"Rakuten Group, Inc."
akutenml.jp,"Rakuten Group, Inc."
akutenml.net,"Rakuten Group, Inc."
akutenmlemail-akuten.com,"Rakuten Group, Inc."
akutenmobile.com,"Rakuten Group, Inc."
akutenmobile.jp,"Rakuten Group, Inc."
akutenmobile.net,"Rakuten Group, Inc."
anshin-stay-iot.jp,"Rakuten Group, Inc."
aquafadas.asia,"Rakuten Group, Inc."
arkuten.info,"Rakuten Group, Inc."
arkuten.jp,"Rakuten Group, Inc."
arkuten.net,"Rakuten Group, Inc."
arkuten.online,"Rakuten Group, Inc."
arkuten.xyz,"Rakuten Group, Inc."
asia-rakuten.asia,"Rakuten, Inc."
asia-rakuten.com,"Rakuten, Inc."
at-eagles.com,"Rakuten Group, Inc."
au-rakuten.asia,"Rakuten, Inc."
au-rakuten.com,"Rakuten, Inc."
au-rakuten.xyz,"Rakuten, Inc."
bank-rakuten.com,"Rakuten Group, Inc."
bankrakuten.com,"Rakuten Group, Inc."
big-rakuten.com,"Rakuten Group, Inc."
big-rakuten.jp,"Rakuten Group, Inc."
big-rakuten.net,"Rakuten Group, Inc."
bigrakuten.com,"Rakuten Group, Inc."
bigrakuten.jp,"Rakuten Group, Inc."
bigrakuten.net,"Rakuten Group, Inc."
bisiness-mobile-rakuten.biz,"Rakuten Group, Inc."
bisiness-mobile-rakuten.com,"Rakuten Group, Inc."
bisiness-mobile-rakuten.info,"Rakuten Group, Inc."
bisiness-mobile-rakuten.jp,"Rakuten Group, Inc."
bisiness-mobile-rakuten.net,"Rakuten Group, Inc."
bisinessmobile-rakuten.com,"Rakuten Group, Inc."
bisinessmobile-rakuten.info,"Rakuten Group, Inc."
bisinessmobile-rakuten.jp,"Rakuten Group, Inc."
bisinessmobile-rakuten.net,"Rakuten Group, Inc."
bisinessmobilerakuten.com,"Rakuten Group, Inc."
bisinessmobilerakuten.info,"Rakuten Group, Inc."
bisinessmobilerakuten.jp,"Rakuten Group, Inc."
bisinessmobilerakuten.net,"Rakuten Group, Inc."
biz-mobile-rakuten.biz,"Rakuten Group, Inc."
biz-mobile-rakuten.com,"Rakuten Group, Inc."
biz-mobile-rakuten.info,"Rakuten Group, Inc."
biz-mobile-rakuten.jp,"Rakuten Group, Inc."
biz-mobile-rakuten.net,"Rakuten Group, Inc."
