domain,sources
101.53.172.8,"Salesforce.com, Inc.; salesforce.com, inc."
13.110.24.13,"Salesforce.com, Inc.; salesforce.com, inc."
136.147.136.34,"Salesforce.com, Inc.; salesforce.com, inc."
198.245.82.46,"Salesforce.com, Inc.; salesforce.com, inc."
66.231.82.234,"Salesforce.com, Inc.; salesforce.com, inc."
68.232.195.173,"Salesforce.com, Inc.; salesforce.com, inc."
aag-onboarding.com,primary
abundantdeclarations.com,primary
acme-leo.click,primary
acumensolutions.business,"Salesforce.com, Inc.; salesforce.com, inc."
acumensolutionsconsulting.us,"Salesforce.com, Inc.; salesforce.com, inc."
acumensolutionsconsultingcanada.us,"Salesforce.com, Inc.; salesforce.com, inc."
agentforce.jp,"Salesforce.com, Inc.; salesforce.com, inc."
airkit.live,"Salesforce.com, Inc.; salesforce.com, inc."
airkit.us,"Salesforce.com, Inc.; salesforce.com, inc."
airkitapps-au.com,"Salesforce.com, Inc.; salesforce.com, inc."
akemail.us,"Salesforce.com, Inc.; salesforce.com, inc."
alejandroirizarry.tech,primary
alexandalexa.wedding,primary
appexchange.us,"Salesforce.com, Inc.; salesforce.com, inc."
artistcloud.us,primary
atonit.academy,"Salesforce.com, Inc.; salesforce.com, inc."
atonit.agency,"Salesforce.com, Inc.; salesforce.com, inc."
automationfactory.us,"Salesforce.com, Inc.; salesforce.com, inc."
blog-oggetti-pubblicitari.it,primary
breakingmarketalert.com,"Salesforce.com, Inc.; salesforce.com, inc."
buddymedia.us,"Salesforce.com, Inc.; salesforce.com, inc."
buddymediablog.us,"Salesforce.com, Inc.; salesforce.com, inc."
businessflow.us,"Salesforce.com, Inc.; salesforce.com, inc."
businessflow.us.com,"Salesforce.com, Inc.; salesforce.com, inc."
cfcfamily.ca,primary
chris-and-mon.com,primary
cirruscomputers.com,primary
cloud-bilt.us,"Salesforce.com, Inc.; salesforce.com, inc."
cloudbilt.us,"Salesforce.com, Inc.; salesforce.com, inc."
cloudbuilt.us,"Salesforce.com, Inc.; salesforce.com, inc."
cloudforce.com,"Salesforce.com, Inc.; salesforce.com, inc."
co-tweet.jp,"Salesforce.com, Inc.; salesforce.com, inc."
code.com,"Salesforce.com, Inc.; salesforce.com, inc."
codeish.jp,"Salesforce.com, Inc.; salesforce.com, inc."
collabriacreditcards-email.ca,primary
colores.work,primary
commerceagility.jp,"Salesforce.com, Inc.; salesforce.com, inc."
commercecloud.jp,"Salesforce.com, Inc.; salesforce.com, inc."
cotweet.jp,"Salesforce.com, Inc.; salesforce.com, inc."
cotweet.us,"Salesforce.com, Inc.; salesforce.com, inc."
cotweetsolutions.jp,"Salesforce.com, Inc.; salesforce.com, inc."
customer-firstcommerce.us,"Salesforce.com, Inc.; salesforce.com, inc."
data.com,"Salesforce.com, Inc.; salesforce.com, inc."
datadiscoverytools.us,"Salesforce.com, Inc.; salesforce.com, inc."
demandware.am,"Salesforce.com, Inc.; salesforce.com, inc."
demandware.fi,"Salesforce.com, Inc.; salesforce.com, inc."
demandware.jp,"Salesforce.com, Inc.; salesforce.com, inc."
demandware.net,"Salesforce.com, Inc.; salesforce.com, inc."
demandware.us,"Salesforce.com, Inc.; salesforce.com, inc."
dentsu-em1-email-co.jp,"Salesforce.com, Inc.; salesforce.com, inc."
deramforce.com,"Salesforce.com, Inc.; salesforce.com, inc."
deskapp.us,"Salesforce.com, Inc.; salesforce.com, inc."
deskenv.us,"Salesforce.com, Inc.; salesforce.com, inc."
devergage.com,"Salesforce.com, Inc.; salesforce.com, inc."
dfhelp.co,primary
diakonia.work,primary
diffeon.jp,"Salesforce.com, Inc.; salesforce.com, inc."
dmemarketingsuccessservices.com,primary
dnscamel.com,primary
dochibank.art,primary
documentforce.com,"Salesforce.com, Inc.; salesforce.com, inc."
documentforce.us,"Salesforce.com, Inc.; salesforce.com, inc."
documentsforce.us,"Salesforce.com, Inc.; salesforce.com, inc."
donvi.in,primary
dreaforce.com,"Salesforce.com, Inc.; salesforce.com, inc."
