domain,sources
activebranding.org,primary
adminsalsify.co.za,primary
barkeep.website,primary
bostonstem.com,primary
contentscoring.com,primary
digitalcatalog.org,primary
digitalshelf.org,primary
distributedmerchandising.com,primary
lionsharecommerce.com,primary
open-catalog.org,primary
opencatalog.org,primary
product-catalog.org,primary
productcontentcollaboration.com,primary
productcontenthub.com,primary
productdiscoverynetwork.com,primary
salsifly.com,primary
salsifx.com,primary
salsify.tv,primary
targetcontentprogram.com,primary
yourdigitalshelf.com,primary
