domain,sources
1912pike.com,Starbucks Corporation
1912pike.io,Starbucks Corporation
1912pike.net,Starbucks Corporation
1912pike.org,Starbucks Corporation
207.109.66.0-207.109.66,primary
213.253.151.0-213.253.151,primary
30daysofstarbucks.com,Starbucks Corporation
65.140.62.0-65.140.62,Starbucks Coffee Company
aboutstarbucks.com,Starbucks Corporation
afternoon-aperitivo.com,Starbucks Corporation
afternoonmade.com,Starbucks Corporation
aperitivoatstarbucks.com,Starbucks Corporation
arriviamobar.com,Starbucks Corporation
bararriviamo.com,Starbucks Corporation
barmixato.com,Starbucks Corporation
bearista.com,Starbucks Coffee Company
bestfallever.com,Starbucks Corporation
bottledfrappuccino.com,Starbucks Coffee Company
brianniccolstarbucks.com,Starbucks Corporation
brianniccolstarbucks.info,Starbucks Corporation
buckstar.net,Starbucks Corporation
buystarbucks.com,Starbucks Coffee Company
cafebucks.co.in,Starbucks Corporation
cafebucks.in,Starbucks Corporation
cafeoleato.com,Starbucks Corporation
cafepractices.com,Starbucks Coffee Company
cafestarbucks.net,Starbucks Coffee Company
cafestarbucks.org,Starbucks Coffee Company
celebratewithstarbucks.com,Starbucks Corporation
centrych.org,primary
cloud-brew.com,Starbucks Corporation
cloudbar.cloud,Starbucks Coffee Company
cloudymccloud.cloud,Starbucks Coffee Company
clovercoffee.com,Starbucks Coffee Company
clovercoffees.com,Starbucks Corporation
clovercrafted.com,Starbucks Corporation
cloverequipment.com,Starbucks Corporation
clovertea.com,Starbucks Coffee Company
clubteavana.com,Starbucks Corporation
coffeeandbooks-starbucks.com,Starbucks Corporation
coffeeandmagazines-starbucks.com,Starbucks Corporation
coffeebreak-away.com,Starbucks Corporation
coffeeequipmentcompany.com,Starbucks Coffee Company
coffeemasterupdate.com,Starbucks Corporation
coffeepartners-hi.com,Starbucks Coffee Company
coffeestarbucks.com,Starbucks Coffee Company
collect-starbucks-stars.com,Starbucks Corporation
collections-starbucks.com,Starbucks Corporation
craftedforhome.com,Starbucks Corporation
craftedforhome.net,Starbucks Corporation
craftedforhome.org,Starbucks Corporation
deepbrew.ai,Starbucks Corporation
designinclusivespaces.com,Starbucks Corporation
discoverstarbuckschocolate.com,Starbucks Corporation
doubleshot.com,Starbucks Coffee Company
doubleshot.us,primary
duettocard.com,Starbucks Coffee Company
duettopressroom.com,Starbucks Coffee Company
duettovisa.com,Starbucks Coffee Company
easystarbucks.com,primary
email-starbucksstore.com,Starbucks Corporation
emeastoreportfolioplaybook.com,Starbucks Corporation
ethoswater.com,Starbucks Coffee Company
ethoswater.jp,Starbucks Coffee Company
ethoswater.org,Starbucks Coffee Company
evolutionbystarbucks.com,Starbucks Corporation
evolutionbystarbucks.net,Starbucks Corporation
evolutionfromstarbucks.com,Starbucks Corporation
evolutionfromstarbucks.net,Starbucks Corporation
evolutionsbystarbucks.com,Starbucks Corporation
evolutionsbystarbucks.net,Starbucks Corporation
evolutionsfromstarbucks.com,Starbucks Corporation
evolutionsfromstarbucks.net,Starbucks Corporation
evolutionsstarbucks.net,Starbucks Corporation
evolutionstarbucks.net,Starbucks Corporation
facebookstarbucks.com,Starbucks Corporation
fillyourcupcontest.com,Starbucks Corporation
findyourbottledstarbucks.com,Starbucks Corporation
fizziobystarbucks.com,Starbucks Corporation
fizziobystarbucks.net,Starbucks Corporation
fizziobystarbucks.org,Starbucks Corporation
fizziostarbucks.com,Starbucks Corporation
fizziostarbucks.net,Starbucks Corporation
fizziostarbucks.org,Starbucks Corporation
frappuccino.ad,Starbucks Coffee Company
frappuccino.ae,Starbucks Corporation
frappuccino.ag,Starbucks Coffee Company
frappuccino.ai,Starbucks Corporation
frappuccino.app,Starbucks Corporation
frappuccino.asia,Starbucks Coffee Company
frappuccino.at,Starbucks Corporation
frappuccino.au,Starbucks Coffee Company
frappuccino.cc,Starbucks Corporation
frappuccino.co.ae,Starbucks Coffee Company
frappuccino.co.at,Starbucks Corporation
frappuccino.co.in,Starbucks Corporation
frappuccino.co.th,Starbucks Coffee Company
frappuccino.com,Starbucks Coffee Company
frappuccino.com.au,Starbucks Coffee Company
frappuccino.com.kz,Starbucks Coffee Company
frappuccino.com.om,Starbucks Corporation
frappuccino.com.pl,Starbucks Corporation
frappuccino.com.pr,Starbucks Corporation
frappuccino.com.ru,Starbucks Corporation
frappuccino.com.tj,Starbucks Corporation
frappuccino.com.tr,Starbucks Corporation
frappuccino.cr,Starbucks Corporation
frappuccino.cz,Starbucks Corporation
frappuccino.do,Starbucks Corporation
frappuccino.fan,Starbucks Corporation
frappuccino.fo,Starbucks Corporation
frappuccino.in,Starbucks Coffee Company
frappuccino.io,Starbucks Corporation
frappuccino.is,Starbucks Coffee Company
frappuccino.jp,Starbucks Coffee Company
frappuccino.lc,Starbucks Coffee Company
frappuccino.me,Starbucks Corporation
frappuccino.mn,Starbucks Corporation
frappuccino.ph,Starbucks Corporation
frappuccino.pr,Starbucks Corporation
frappuccino.ru,Starbucks Corporation
frappuccino.sh,Starbucks Corporation
frappuccino.sl,Starbucks Corporation
frappuccino.su,Starbucks Corporation
frappuccino.sx,Starbucks Corporation
frappuccino.tc,Starbucks Corporation
frappuccino.tj,Starbucks Corporation
frappuccino.tr,Starbucks Corporation
frappuccino.us,primary
frappuccino.uz,Starbucks Coffee Company
frappuccinomachine.com,Starbucks Corporation
frappucino.in,Starbucks Corporation
frappucino.mobi,Starbucks Coffee Company
free-starbucks.com,Starbucks Corporation
freestarbuckscard.com,Starbucks Coffee Company
freestarbuckscards.com,Starbucks Coffee Company
freestarbucksdrink.com,Starbucks Corporation
fuelourdemocracy.com,Starbucks Corporation
fuelourdemocracy.org,Starbucks Corporation
futureroast.com,Starbucks Coffee Company
gentestarbucks.com,Starbucks Corporation
globalcardorders.com,Starbucks Corporation
greenapron.info,Starbucks Corporation
greenapron.org,Starbucks Corporation
greenaproncreators.com,Starbucks Corporation
gsdresourcecenter.com,Starbucks Corporation
haciendaalsacia.co.cr,Starbucks Corporation
haciendaalsacia.com,Starbucks Corporation
haciendaalsacia.cr,Starbucks Corporation
haciendaalsacia.net,Starbucks Corporation
haciendaalsacia.org,Starbucks Corporation
hhcmssbux.com,Starbucks Corporation
hingakawa.com,Starbucks Corporation
hirenza.us,primary
hkscstarbuckspartner.com,Starbucks Corporation
howtobesbc.com,Starbucks Coffee Company
i-hate-teavana.com,Starbucks Corporation
icedteavana.com,Starbucks Corporation
icedteavana.net,Starbucks Corporation
icedteavana.org,Starbucks Corporation
ihate-teavana.com,Starbucks Corporation
ihatestarbucks.net,Starbucks Coffee Company
ihatestarbucks.org,Starbucks Coffee Company
ihateteavana.com,Starbucks Corporation
iloveteavana.com,Starbucks Corporation
imagesbyjerry.com,primary
indianstarbucks.co.in,Starbucks Corporation
indianstarbucks.in,Starbucks Corporation
indiastarbucks.co.in,Starbucks Corporation
indiastarbucks.in,Starbucks Corporation
instantstarbucks.com,Starbucks Coffee Company
instantstarbuckscoffee.com,Starbucks Coffee Company
instantstarbucksvia.com,Starbucks Coffee Company
instantstarbucksviacoffee.com,Starbucks Coffee Company
instantstarbucksviareadybrew.com,Starbucks Coffee Company
itsredagain.com,Starbucks Coffee Company
jbphotogaphy.com,primary
lacbaristachampionship.com,primary
letsmeetatstarbucks.com,Starbucks Coffee Company
letsmeetatstarbucks.net,Starbucks Coffee Company
letsmeetatstarbucks.org,Starbucks Coffee Company
lovewhatyoudo.cz,Starbucks Corporation
mastrena.com,Starbucks Corporation
meetupatstarbucks.com,Starbucks Coffee Company
meetupatstarbucks.net,Starbucks Coffee Company
meetupatstarbucks.org,Starbucks Coffee Company
mycareerspassport.com,Starbucks Corporation
myfreestarbucks.com,Starbucks Corporation
myotgcard.starbucks.com.tw,Starbucks Corporation
mysbux.co.in,Starbucks Coffee Company
mysbux.in,Starbucks Coffee Company
mysbux.ru,Starbucks Coffee Company
mysbuxben.com,Starbucks Corporation
mysbuxben.org,Starbucks Corporation
mysbuxbenefits.com,Starbucks Corporation
mysbuxbenefits.org,Starbucks Corporation
mystarbuckexperience.net,Starbucks Corporation
mystarbuckexperience.org,Starbucks Corporation
mystarbucks-experience.com,Starbucks Corporation
mystarbucks-experience.net,Starbucks Corporation
mystarbucks-experience.org,Starbucks Corporation
mystarbucks.com,Starbucks Coffee Company
mystarbucks.mobi,Starbucks Coffee Company
mystarbucksapp.com,Starbucks Coffee Company
mystarbucksdesign.com,Starbucks Corporation
mystarbucksexperience.net,Starbucks Corporation
mystarbucksexperience.org,Starbucks Corporation
mystarbucksidea.com,Starbucks Coffee Company
mystarbucksideas.com,Starbucks Corporation
mystarbucksideas.net,Starbucks Corporation
mystarbucksrewards.xxx,Starbucks Corporation
mystarbuckssavings.com,Starbucks Corporation
mystarbuckssignature.com,Starbucks Corporation
mystarbucksstory.com,Starbucks Coffee Company
mystarbuckstshirt.net,Starbucks Coffee Company
mystarbuckstshirt.org,Starbucks Coffee Company
mystarbucksvisit-ae.com,Starbucks Corporation
