domain,sources
borderdrayage.com,primary
breezeblitz.com,primary
crossdocklaredo.com,primary
cscp-wado.com,primary
defeatheat.com,primary
distribuidordeacero.com,primary
equipodebodega.com,primary
fightass.com,"Zuffa, LLC"
fightpass.jp,"Zuffa, LLC"
fightpass.ru,"Zuffa, LLC"
freeufcvideos.info,"Zuffa, LLC"
glossariolibras.com,primary
importaacero.com,primary
kadirakgul.org,primary
laredoforklift.com,primary
laredohotshot.com,primary
mixed-martial-arts-france.com,"Zuffa, LLC"
mixedmartialartsfrance.com,"Zuffa, LLC"
octagongirls.biz,"Zuffa, LLC"
oiservicos.xyz,primary
ropacomoda.com,primary
rutasdecarga.com,primary
steelweekly.com,primary
teniscomodos.com,primary
theultimatefighter.pro,"Zuffa, LLC"
theultimatefighter.tel,"Zuffa, LLC"
trailersandflatbeds.com,primary
transbordolaredo.com,primary
transportsteel.com,primary
ucfsas.fr,primary
ufc.beer,"Zuffa, LLC"
ufc.bingo,"Zuffa, LLC"
ufc.business,"Zuffa, LLC"
ufc.cafe,"Zuffa, LLC"
ufc.club,"Zuffa, LLC"
ufc.codes,"Zuffa, LLC"
ufc.courses,"Zuffa, LLC"
ufc.deals,"Zuffa, LLC"
ufc.direct,"Zuffa, LLC"
ufc.earth,"Zuffa, LLC"
ufc.engineering,"Zuffa, LLC"
ufc.enterprises,"Zuffa, LLC"
ufc.estate,"Zuffa, LLC"
ufc.express,"Zuffa, LLC"
ufc.gifts,"Zuffa, LLC"
ufc.guide,"Zuffa, LLC"
ufc.holdings,"Zuffa, LLC"
ufc.industries,"Zuffa, LLC"
ufc.irish,"Zuffa, LLC"
ufc.kaufen,"Zuffa, LLC"
ufc.men,"Zuffa, LLC"
ufc.movie,"Zuffa, LLC"
ufc.parts,"Zuffa, LLC"
ufc.pictures,"Zuffa, LLC"
ufc.porn,"Zuffa, LLC"
ufc.reisen,"Zuffa, LLC"
ufc.school,"Zuffa, LLC"
ufc.software,"Zuffa, LLC"
ufc.supply,"Zuffa, LLC"
ufc.theater,"Zuffa, LLC"
ufc.toys,"Zuffa, LLC"
ufc.tv,"Zuffa, LLC"
ufc.vision,"Zuffa, LLC"
ufcfightworkshop.com,"Zuffa, LLC"
ufcfit.fitness,"Zuffa, LLC"
ufcfitclub.mobi,"Zuffa, LLC"
ufcfitclub.tel,"Zuffa, LLC"
ufcfitclub.us,"Zuffa, LLC"
ufcfitdiet.com,"Zuffa, LLC"
ufcfitextreme.com,"Zuffa, LLC"
ufcfitnesscenter.co.uk,"Zuffa, LLC"
ufcglobal.info,"Zuffa, LLC"
ufcgym.nyc,"Zuffa, LLC"
ufcgymamerica.com,"Zuffa, LLC"
ufcgymbrooklyn.com,"Zuffa, LLC"
ufcgymcalifornia.com,"Zuffa, LLC"
ufcgymfarmingdale.com,"Zuffa, LLC"
ufcgymhuntington.com,"Zuffa, LLC"
ufcgymhuntingtonstation.com,"Zuffa, LLC"
ufcgymnc.com,"Zuffa, LLC"
ufcgymnewyork.com,"Zuffa, LLC"
ufcgymnorthcarolina.com,"Zuffa, LLC"
ufcgymny.com,"Zuffa, LLC"
ufcgymstatenisland.com,"Zuffa, LLC"
ufcgymworkout.com,"Zuffa, LLC"
ufcofficial.us,"Zuffa, LLC"
ufcpoker.us,"Zuffa, LLC"
ufcshitness.com,"Zuffa, LLC"
ufcstore.biz,"Zuffa, LLC"
ufcsuplementos.com,primary
ufctogo.net,primary
ufctrainingcenter.co.uk,"Zuffa, LLC"
ultimatefighter.asia,"Zuffa, LLC"
ultimatefighting.club,"Zuffa, LLC"
ultimatefightingcenter.info,"Zuffa, LLC"
ultimatefightingcenter.org,"Zuffa, LLC"
ultimatefightingchampionship.club,"Zuffa, LLC"
