domain,sources
barneysstore.us,primary
cannabisbusinesscouncil.us,primary
cannacenters.us,primary
etv1.us,primary
evalcenters.us,primary
flowersarenotacrime.us,primary
getenlighten.ca,primary
getenlightened.ca,primary
growmerch.ca,primary
growone.ca,primary
menopausepack.us,primary
mmprseedtosale.ca,primary
mmprsoftware.ca,primary
museumofweed.ca,primary
museumofweed.us,primary
my420doc.us,primary
positronics.at,primary
positronics.us,primary
transportlogistics.us,primary
vapemd.us,primary
vaporizermd.us,primary
weedmaps.ca,primary
weedmaps.in,primary
weedmaps.tools,"Ghost Management Group, LLC"
wmshops.us,primary
