domain,http_status,https_status,redirect_url
1amazon.info,200,,https://www.amazon.com/ref=as_li_ss_tl?ie=UTF8&linkCode=sl2&tag=amznipops-20&linkId=ef33ef1998890bd8a89ba9c3007fa6cd
2imdb.com,200,,https://www.amazon.com/ref=as_li_ss_tl?ie=UTF8&linkCode=sl2&tag=amznipops-20&linkId=ef33ef1998890bd8a89ba9c3007fa6cd
365bywholefoods.fr,200,,https://www.wholefoodsmarket.com/
5twitch.com,200,,https://www.twitch.tv/
6twitch.com,200,,https://www.twitch.tv/
a-azonaws.com,200,,https://aws.amazon.com:443/
aamazon.biz,202,202,https://www.amazon.com:443/
aamazon.com,202,202,https://www.amazon.com:443/
aamazon.it,202,,https://www.amazon.it/
aamazon.net,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aawss.com,200,,https://aws.amazon.com/
abonnementkindle.fr,200,,https://www.amazon.fr/kindle-dbs/hz/subscribe/ku?_encoding=UTF8&*Version*=1&shoppingPortalEnabled=true&*entries*=0
aboutamazon.co.in,200,,https://www.aboutamazon.com/
aboutamazon.com,200,200,https://www.aboutamazon.com:443/
aboutamazon.cz,200,,https://www.aboutamazon.com/
aboutamazon.fr,200,200,https://www.aboutamazon.fr/
aboutamazon.in,200,200,https://www.aboutamazon.in/
aboutamazon.info,200,,https://www.aboutamazon.com/
aboutamazon.it,200,200,https://www.aboutamazon.it/
aboutamazon.net,200,,https://www.aboutamazon.com/
acceleraconamazon.it,200,200,https://acceleraconamazon.it/
acmvalidationsaws.com,200,,https://aws.amazon.com/certificate-manager/
actorsimdb.info,200,,https://www.safebrowse.io/warn.html?url=http://actorsimdb.info/&token=69c983de
adsamazon.com,200,,https://advertising.amazon.com/
adsamazon.fr,200,,https://advertising.amazon.com/fr-fr
adsamazon.it,200,,https://advertising.amazon.com/it-it
advertisewithamazon.fr,200,,https://advertising.amazon.com/fr-fr
advertisingamazon.fr,200,,https://advertising.amazon.com/fr-fr
advertisingamazon.it,200,,https://advertising.amazon.com/it-it
affiliateamazon.at,200,,https://www.amazon.de/
affiliateamazon.co.at,200,,https://www.amazon.de/
affiliateamazon.fr,202,,https://www.amazon.fr/
affiliateamazon.it,202,,https://www.amazon.it/
affiliationamazon.fr,202,,https://www.amazon.fr/
affiliazioneamazon.it,202,,https://www.amazon.it/
agenciaamazonia.com,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aiamazon.com,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aiazonaws.com,200,,https://aws.amazon.com:443/
aicare-onemedical.com,200,,
aichaevanslawsuit.com,200,,
aichaevanslawsuit.info,200,,
aichaevanslawsuit.net,200,,
aichaevanslawsuit.org,200,,
airprime.at,200,,https://www.amazon.de/
airprime.co.in,200,,https://www.amazon.in/
airprime.fr,202,,https://www.amazon.fr/
airprime.info,200,,https://www.amazon.com/b?node=206533607011
airprime.it,202,,https://www.amazon.it/
airprime.net,200,,https://www.amazon.com/b?node=206533607011
airprime.org,200,,https://www.amazon.com/b?node=206533607011
alazonaws.com,200,,https://aws.amazon.com:443/
alexa-agent.com,200,,
alexa-frame.com,200,,https://www.amazon.com/b?ie=UTF8&node=116898096011
alexa-internet.it,202,,https://www.amazon.it/
alexa-live.com,200,,https://developer.amazon.com/en-US/alexa/alexa-live
alexa.bayern,200,,https://www.amazon.de/gp/browse.html?node=14100226031
alexa.click,200,,https://alexa.amazon.com/about
alexa.cloud,200,,https://developer.amazon.com/en-US/alexa
alexa.club,200,,https://alexa.amazon.com/about
alexa.com,200,200,https://alexa.amazon.com/about
alexa.cooking,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.cyou,200,,https://www.amazon.com/b?node=21576558011
alexa.dealer,200,,https://www.amazon.com/b?node=21576558011
alexa.desi,200,,https://alexa.amazon.com/about
alexa.design,200,200,https://developer.amazon.com/en-US/alexa
alexa.diet,200,,https://alexa.amazon.com/about
alexa.earth,200,,https://developer.amazon.com/en-US/alexa
alexa.fashion,200,,https://alexa.amazon.com/about
alexa.foundation,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexa.gives,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexa.help,200,,https://alexa.amazon.com/about
