domain,http_status,https_status,redirect_url
365.flowers,200,,https://www.wholefoodsmarket.com/
aazon.co.in,202,202,https://www.amazon.in:443/
abcinsightsgroup.com,200,200,https://www.abcinsightsgroup.com/hub
aboutamazon.in,200,200,https://www.aboutamazon.in/
aesworkshops.com,200,200,https://aesworkshops.com/
agentic-community.ai,200,,
agentic-community.com,200,200,https://agentic-community.com/
agenticcommunity.ai,200,,
ai-care.bot,200,,
aicare-onemedical.com,200,,
aicare.bot,200,,
aicarepharmacy.bot,200,,
airprime.co.in,202,,https://www.amazon.in/
amajon.co.in,202,,https://www.amazon.in/
amajon.in,202,,https://www.amazon.in/
amajun.co.in,202,,https://www.amazon.in/
amajun.in,202,202,https://www.amazon.in:443/
amamzon.in,202,202,https://www.amazon.in:443/
amaon.in,202,202,https://www.amazon.in:443/
amaozn.com,200,,https://www.safebrowse.io/warn.html?url=http://amaozn.com/&token=7e1f2028
amaozn.in,202,202,https://www.amazon.in:443/
amaxzon.in,202,202,https://www.amazon.in:443/
amazaon.in,202,202,https://www.amazon.in:443/
amazaudible.com,200,,https://www.audible.com/
amazin.in,202,202,https://www.amazon.in:443/
amosun.co.in,202,,https://www.amazon.in/
amozin.in,202,,https://www.amazon.in/
amozon.in,202,202,https://www.amazon.in:443/
amxzon.co.in,202,,https://www.amazon.in/
amxzon.in,202,,https://www.amazon.in/
amz-kdppublishing.com,200,,
amz.in,202,202,https://www.amazon.in:443/
amzpremiumreview.com,200,,
apay-up-banner.com,200,200,https://apay-up-banner.com/
apn-ambassadors.com,200,200,https://aws-ambassadors.com/
apn-portal.com,200,200,https://www.apn-portal.com:443/
asknlx.com,200,,
assistonemedical.com,200,,
audible-amazon.info,200,,https://www.audible.com/
audible.bid,200,,https://www.audible.com/
audible.blackfriday,200,,https://www.audible.com/
audible.club,200,,https://www.audible.com:443/
audible.international,200,,https://www.audible.com/
audible.ooo,200,,https://www.audible.com/
audible.wiki,200,,https://www.audible.com/
audibleamazon.info,200,,https://www.audible.com/
audibleimmersionreading.com,200,,https://www.audible.com/
audibleplus.com,200,,https://www.audible.com/ep/audible-plus-member-benefit
audiblewhispersyncforvoice.com,200,,https://www.audible.com/
audiobook.blackfriday,200,,https://www.audible.com/
audiobooks.blackfriday,200,,https://www.audible.com/
automatichealth.health,200,,
avsxappcaptiveportal.com,200,,
awsaipresale.com,200,401,
awsamazon.asia,200,,https://www.amazonaws.cn:443/
awsevents.com,200,200,https://reinvent.awsevents.com/index.html
awsidentity.careers,200,200,https://amazon.jobs/content/en/teams/amazon-web-services
awsnetworkshops.com,200,200,https://www.awsnetworkshops.com/
awsplatform.online,200,,https://www.safebrowse.io/warn.html?url=http://awsplatform.online/&token=8f9e03fa
awswell-architectedlabs.com,200,,https://dx1572sre29wk.cloudfront.net/
awsworkshop.io,200,200,https://awsworkshop.io/
axio.co.in,200,200,https://www.axio.co.in/
axiofinance.com,200,,
azn.in,202,202,https://www.amazon.in:443/
before-you-buy.co.in,202,,https://www.amazon.in/
before-you-buy.in,202,,https://www.amazon.in/
beforeyoubuy.co.in,202,,https://www.amazon.in/
beforeyoubuy.in,202,,https://www.amazon.in/
blazegraph.com,200,200,https://blazegraph.com/
blink2k.com,200,,
blinkb4ubuy.com,200,,https://blinkforhome.com/
blinkb4youbuy.com,200,,https://blinkforhome.com/
blinkforhome.com,200,200,https://blinkforhome.com/
blinkhomesecurity.com,200,,https://blinkforhome.com/
blinkhomesecurity.net,200,,https://blinkforhome.com/
bluage.com,200,200,https://bluage.com/
bookstoredemo.com,200,,https://github.com/aws-samples/aws-bookstore-demo-app
boxofficemojo.biz,202,,https://www.imdb.com/
boysintheboat.com,200,,https://www.mgm.com/movies/the-boys-in-the-boat
boysintheboatmovie.com,200,,https://www.mgm.com/movies/the-boys-in-the-boat
brilliancaudio.com,200,,https://www.brilliancepublishing.com:443/
brillianceuadio.com,200,,https://www.brilliancepublishing.com:443/
buyblinktoday.com,200,200,http://buyblinktoday.com/campaign_is_offline.html
cftc.info,200,,https://www.youtube.com/containersfromthecouch
choiceview.biz,200,,
choiceview.com,308,308,
choiceview.info,200,,
choiceview.mobi,200,,
choiceview.org,200,,
choiceview.us,200,,
climatepledge.info,200,,https://www.theclimatepledge.com/
climatepledgefriendly.com,200,200,https://climatepledgefriendly.com/
containersfromthecouch.com,200,200,https://www.youtube.com/containersfromthecouch
containersonaws.com,200,200,https://containersonaws.com/
cxbynlx.com,200,,
dapeijie.com,200,200,https://www.amazon.cn:443/
dbbest.com,301,301,
dbbest.net,301,301,
directmessagecare.com,200,,
directmessagecare.health,200,,
ec2mssqlworkshop.com,200,200,https://www.ec2mssqlworkshop.com/
echoaz3.com,200,,
echodotmax.com,200,,
echoshow21.com,200,,
echoshow21.info,200,,
echoshow21.net,200,,
echoshow21.org,200,,
echoshow21.us,200,,
eero.io,403,200,https://eero.com/
eksworkshop.com,200,200,https://eksworkshop.com/
ellemarrecords.com,200,200,https://www.ellemarrecords.com/
emberartlinetv.com,200,,
emealab.net,200,200,
familytreedaycare.com,200,,
