domain,resolves,http_status,https_status,redirect_url
00jc.ph,True,200,,
033.ch,True,200,200,
056.ch,True,200,200,
0604resear.ch,True,200,200,https://0604resear.ch/
074.ch,True,200,200,
08181.es,True,200,200,https://08181.es/
091.ch,True,200,200,
0urselv.es,True,200,200,
1-click.biz,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
1-click.info,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
1000migliaexp.gr,True,200,,
101-influence.ch,True,,,
107.20.142.217,True,,,
107.21.177.144,True,,,
107.22.0.200,True,,,
107.22.45.197,True,,,
107.23.50.158,True,,,
107.23.85.102,True,,,
10am.ch,True,200,200,https://10am.ch/
10or.co.in,True,,,
10or.in,True,,,
11homes.es,True,200,200,https://11homes.es/
11undici.ch,True,200,200,https://www.11undici.ch/
130.175.0.0,True,,,
134.43.0.0,True,,,
136.10.255.255,True,,,
136.17.0.0,True,,,
136.2.255.255,True,,,
136.8.0.0,True,,,
15minuten.ch,True,200,200,
17025lab.gr,True,200,200,https://17025lab.gr/
184.169.128.0,True,,,
184.169.133.55,True,,,
184.169.175.82,True,,,
184.169.255.255,True,,,
1amazon.info,True,200,,https://www.amazon.com/ref=as_li_ss_tl?ie=UTF8&linkCode=sl2&tag=amznipops-20&linkId=ef33ef1998890bd8a89ba9c3007fa6cd
1click.info,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
1win.et,True,200,,
1xcasino.ga,True,200,200,
1xcasino.gr,True,200,200,
204.246.191.16,True,,,
204.246.191.61,True,,,
204.246.191.81,True,,,
205.251.192.126,True,,,
205.251.242.103,True,,,
20podcast.ch,True,200,200,
216.182.229.178,True,,,
216.230.78.184,True,,,
216.57.0.0,True,,,
22c.es,True,200,200,
22c.gr,True,200,200,
22strings.ch,True,200,200,https://www.22strings.ch/
24fashiontipps.ch,True,200,200,https://24fashiontipps.ch/
2imdb.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?ie=UTF8&linkCode=sl2&tag=amznipops-20&linkId=ef33ef1998890bd8a89ba9c3007fa6cd
2rad-zueri.ch,True,,,
2tbarbershop.gr,True,200,200,https://www.2tbarbershop.gr/
3000.es,True,200,200,
34678.xn--qxam,True,,200,https://kds2025new.67823.xn--gecrj9c/
34oigutrug0wegjes.cf,True,,,
365.co.at,True,200,,https://www.wholefoodsmarket.com/
365.flowers,True,200,,https://www.wholefoodsmarket.com/
365bywholefoods.fr,True,200,,https://www.wholefoodsmarket.com/
365tempranolopez.es,True,200,200,https://www.365tempranolopez.com/
3d-print.ch,True,,,
3dauftrag.ch,True,,,
3dpanda.ch,True,,,
3senseeventtec.ch,True,200,200,https://3senseeventtec.ch/
43.200.109.63,True,,,
43.200.119.226,True,200,,
43.200.194.123,True,,,
43.200.204.202,True,,200,https://cadvizor.com/
43.200.43.212,True,,200,
43.201.133.249,True,,401,
43.204.109.186,True,,,
43.204.111.52,True,,,
43.204.155.255,True,,,
43.204.203,True,,,
43.204.203.0,True,200,200,https://learn.exafluence.education/
43.204.91.174,True,404,404,
43.205.195.127,True,,,
43.205.237.80,True,,,
43.205.40,True,,,
43.205.40.8,True,,,
43.207.79.131,True,,,
4ailes.ch,True,200,200,https://4ailes.ch/
4gwifi.es,True,200,200,
4mazon.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
50.112.253.12,True,200,,
56.67.216.82,True,,,
58market.es,True,200,200,https://58market.es/
5kind.es,True,200,200,
5seed.es,True,200,200,https://5seed.es/
5star-rent.gr,True,200,200,https://5star-rent.gr/
5twitch.com,True,200,,https://www.twitch.tv/
62komma8.ch,True,,,
6pm.africa,True,200,,https://www.6pm.com/
6pm.best,True,200,,https://www.6pm.com/
6pm.fashion,True,200,,https://www.6pm.com/
6pm.icu,True,200,,https://www.6pm.com/
6pm.lat,True,200,,https://www.6pm.com/
6pm.love,True,200,,https://www.6pm.com/
6pm.nyc,True,200,,https://www.6pm.com/
6pm.one,True,200,,https://www.6pm.com/
6pm.online,True,200,,https://www.6pm.com/
6pm.review,True,200,,https://www.6pm.com/
6pm.ruhr,True,200,,https://www.6pm.com/
6pm.sexy,True,200,,https://www.6pm.com/
6pm.site,True,200,,https://www.6pm.com/
6pm.tech,True,200,,https://www.6pm.com/
6pm.vip,True,200,,https://www.6pm.com/
6pm.wang,True,200,,https://www.6pm.com/
6pm.webcam,True,200,,https://www.6pm.com/
6pm.website,True,200,,https://www.6pm.com/
6pm.wedding,True,200,,https://www.6pm.com/
6pm.xyz,True,200,,https://www.6pm.com/
6pm.yoga,True,200,,https://www.6pm.com/
6pmaccess.us,True,200,,https://www.6pm.com/
6twitch.com,True,200,,https://www.twitch.tv/
6witch.com,True,200,,https://www.twitch.tv/
6witch.tv,True,200,,https://www.twitch.tv/
75.2.115.196,True,,,
75.2.115.67,True,403,403,
75.2.18.233,True,,,
75.2.19.118,True,,,
75.2.44.229,True,,404,
75.2.48.42,True,,,
75.2.60.102,True,,,
75.2.60.43,True,,503,
75.2.60.5,True,404,404,
75.2.70.75,True,,,
75.2.87.65,True,,,
76.223.0.0,True,,,
76.223.105.230,True,400,400,
76.223.2.241,True,,,
76.223.49.160,True,200,200,https://76.223.49.160/Error/NotFound
76.223.54.146,True,400,,
76.223.59.226,True,,,
76.223.67.189,True,400,,
7erclub.ch,True,200,200,https://7erclub.ch/
7mdb.com,True,202,,https://www.imdb.com/
87.gp,True,200,200,
8mdb.com,True,200,,https://www.safebrowse.io/warn.html?url=http://8mdb.com/&token=3b9a3203
8treks.es,True,200,200,https://8treks.es/
900759759.es,True,200,,http://www.900759759.es/
93.73.200.167,True,,,
99.82.160.60,True,,,
99.83.138.213,True,,404,
99.83.138.255,True,200,200,https://xrp77.com:443/
99.83.150.205,True,,403,
99.83.153.108,True,,,
99.83.154.118,True,,,
99.83.177.158,True,,200,https://99.83.177.158/Error/NotFound
99.83.180.235,True,200,200,
99.83.190.102,True,,,
99.83.213.230,True,,,
99.83.229.146,True,,,
99.83.231.61,True,404,404,
99.83.238.156,True,,,
99.83.243.157,True,404,404,
a-azonaws.com,True,200,,https://aws.amazon.com:443/
a-better-way.ch,True,200,200,https://www.a-better-way.ch/
a-listcollection.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
a-nine.com,True,,,
a-nine.net,True,,,
a-style.es,True,200,200,https://a-style.es/
a2zs.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
a9-search.net,True,,,
a9.com,True,,,
a9.fr,True,,,
a9com.org,True,,,
a9office.com,True,,,
a9search.com,True,,,
a9search.info,True,,,
a9search.net,True,,,
a9toolbar.net,True,,,
aa123.ch,True,403,403,
aabaranpaudel.com.np,True,200,200,https://aabaranpaudel.com.np/
aamazon.biz,True,202,202,https://www.amazon.com:443/
aamazon.com,True,202,202,https://www.amazon.com:443/
aamazon.it,True,202,,https://www.amazon.it/
aamazon.net,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aamazzon.com,True,202,202,https://www.amazon.com:443/
aamzon.com,True,202,202,https://www.amazon.com:443/
aamzon.in,True,200,200,https://www.amazon.in:443/
aamzon.it,True,202,,https://www.amazon.it/
aamzon.net,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aaronjoel.es,True,200,200,https://aaronjoel.es/
aawss.com,True,200,,https://aws.amazon.com/
aayushbhandari.info.np,True,200,200,https://aayushbhandari.info.np/
aaz-aarau.ch,True,200,200,https://aaz-aarau.ch/
aazon.at,True,200,,https://www.amazon.de/ref=rd_www_amazon_at/?site-redirect=at
aazon.co.in,True,200,200,https://www.amazon.in:443/
aazon.it,True,202,,https://www.amazon.it/
abastodigital.com.py,True,404,404,
abcinsightsgroup.com,True,200,200,https://www.abcinsightsgroup.com/hub
abe-books.fr,True,200,,https://www.abebooks.fr/
abeldesign.ch,True,200,200,https://www.abeldesign.ch/
aberg.ch,True,200,200,https://www.aberg.ch/
abickerton.ch,True,200,200,https://abickerton.ch/
abinvestments.es,True,200,200,https://www.abinvestments.es/
abmauri.com.ni,True,200,,
aboexit.ch,True,200,200,https://www.aboexit.ch/de/
abogad.es,True,200,,
abogadoinmigracion.es,True,200,200,
abogadomanacor.es,True,200,200,https://abogadomanacor.es/
abogadosustitutosegovia.es,True,200,200,https://abogadosustitutosegovia.es/
abonnementkindle.fr,True,200,,https://www.amazon.fr/kindle-dbs/hz/subscribe/ku?_encoding=UTF8&*Version*=1&shoppingPortalEnabled=true&*entries*=0
aborigin.es,True,200,200,
aboutamazon.co.in,True,200,,https://www.aboutamazon.com/
aboutamazon.com,True,200,200,https://www.aboutamazon.com:443/
aboutamazon.cz,True,200,,https://www.aboutamazon.com/
aboutamazon.fr,True,200,200,https://www.aboutamazon.fr/
aboutamazon.in,True,200,200,https://www.aboutamazon.in/
aboutamazon.info,True,200,,https://www.aboutamazon.com/
aboutamazon.it,True,200,200,https://www.aboutamazon.it/
aboutamazon.net,True,200,,https://www.aboutamazon.com/
abrazos.com.es,True,200,200,
abs-technik.ch,True,200,200,https://www.abs-technik.ch/
absexto.es,True,200,200,https://absexto.es/
abstrait.ch,True,200,200,https://www.abstrait.ch/
abx-2021.jp,True,200,200,https://business.amazon.co.jp/ja/discover-more/event-info/abx2021
acabadosprofesionales.com.gt,True,200,200,https://www.acabadosprofesionales.com.gt/
academ-ia.es,True,200,200,https://academ-ia.es/
academiafoc.es,True,200,200,
academiamanuruiz.es,True,200,200,https://academiamanuruiz.es/
academiapokerlive.es,True,200,200,https://academiapokerlive.es/
academiavocacionmilitar.es,True,200,200,https://www.academiavocacionmilitar.es/
academybuilder.ch,True,200,200,https://www.academybuilder.ch/
accademiapompieri.ch,True,,,
acceleraconamazon.it,True,200,200,https://acceleraconamazon.it/
accesoriosdeportivos.es,True,200,200,
accessibiza.es,True,200,200,https://accessibiza.es/
account.hm,True,200,200,
accountancy360.es,True,200,200,https://accountancy360.es/
aceitesonline.es,True,200,,
aceleratia.es,True,200,200,
acentoyzeta.es,True,404,404,
acept.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?ie=UTF8&linkCode=sl2&tag=amznipops-20&linkId=ef33ef1998890bd8a89ba9c3007fa6cd
acessential.es,True,200,200,https://acessential.es/
acf-ferati.ch,True,200,200,https://acf-ferati.ch/
achairandyou.ch,True,200,200,https://www.achairandyou.ch/
achi-automobile.ch,True,,,
acidvisuals.ch,True,200,200,https://acidvisuals.ch/
acmvalidationsaws.com,True,200,,https://aws.amazon.com/certificate-manager/
acnag.ch,True,200,,
acquadigioiaessenza.es,True,200,200,https://www.armani.com/en-us/
acrillodegallo.es,True,200,200,https://acrillodegallo.es/
acsechocaptiveportal.com,True,200,,
activebystander.ch,True,200,200,
activehotels.ch,True,202,202,https://www.booking.com:443/?original_host=activehotels.ch&
activelymanagedcertificates.ch,True,200,200,https://activelymanagedcertificates.ch/
activities4you.es,True,525,525,
