domain,http_status,https_status,redirect_url
actorsimdb.info,200,,https://www.safebrowse.io/warn.html?url=http://actorsimdb.info/&token=69c983de
aichaevanslawsuit.com,200,,
aichaevanslawsuit.info,200,,
aichaevanslawsuit.net,200,,
aichaevanslawsuit.org,200,,
assistonemedical.com,200,,
avclassactionlawsuit.com,200,,
avclassactionlawsuit.net,200,,
badzoox.com,200,,
bikeshatezoox.com,200,,
career-zoox.com,200,,
careers-zoox.com,200,,
classactionlawsuitzoox.net,200,,
classactionlawsuitzoox.org,200,,
cloudfront.me,200,,https://www.aboutamazon.eu/
cloudfrontstreaming.me,200,,https://www.aboutamazon.eu/
coinbaseprime.tk,200,,
compring.es,200,200,
cyclistsagainstzoox.com,200,,
dadsagainstzoox.com,200,,
darzalex.ch,200,200,https://www.jnjmedicalcloud.ch/de-ch/produkte/darzalex
dbbest.com,301,,
dbbest.net,301,,
dorothyspring.es,200,200,
edrivecarsharing.ch,200,200,https://www.edrivecarsharing.ch/
fauna.com,200,,https://faunarobotics.com/
fauna.net,200,,https://faunarobotics.com/
getfire.ch,200,200,https://getfire.ch/
gruering.ch,,200,
gtwitchcon.com,200,,https://www.twitchcon.com/
iheartzoox.com,200,,
ilovezoox.com,200,,
infoalex.com.py,200,200,https://infoalex.com.py/errorpage.aspx?aspxerrorpath=/termycond.aspx
inglesprimero.es,200,200,https://inglesprimero.es/
inlt.com,200,200,https://inlt.com/
jesselevinsonlawsuit.com,200,,
jesselevinsonlawsuit.net,200,,
jesselevinsonlawsuit.org,200,,
kaelte-engineering.ch,200,200,https://www.kaelte-engineering.ch/
killerzoox.com,200,,
klimalex.es,200,200,https://klimalex.es/
laborlex.ch,200,200,https://www.lexlaboris.ch/
lex-media.es,200,200,https://lex-media.es/
luxecho.gr,200,200,https://luxecho.gr/
mazaya-fire.iq,200,200,http://mazaya-fire.com/
momsagainstzoox.com,200,,
mzdyamazon.cz,200,,https://informationhighway.coredat.com/
notmyzoox.com,200,,
nozooxhere.com,200,,
paws-and-tails.gr,200,200,https://www.paws-and-tails.gr/
pawspaleochora.gr,200,200,https://www.pawspaleochora.gr/
pillpack.pharmacy,200,,https://www.pillpack.com/
promocatering.ch,200,200,
ridezoox.com,200,,
rtwitchcon.com,200,,https://www.twitchcon.com/
saynotozoox.com,200,,
shahrzad-bigalex.ch,200,200,https://bigalex.ch/
thetwitchcon.com,200,,https://www.twitchcon.com/
thetwitchcon.net,200,,https://www.twitchcon.com/
thetwitchcon.org,200,,https://www.twitchcon.com/
umbra3d.com,200,200,https://umbra3d.com/
viziotix.com,200,200,https://viziotix.com/
welovezoox.com,200,,
woot.nyc,200,,https://www.woot.com:443/
wpprime.es,200,200,https://wpprime.es/
wtfiszoox.com,200,,
wtfiszoox.info,200,,
wtfiszoox.net,200,,
wtfiszoox.org,200,,
wwwaudiblecom.net,200,,https://www.safebrowse.io/warn.html?url=http://wwwaudiblecom.net/&token=72367a9d
wwwaudiblekids.com,200,,https://www.safebrowse.io/warn.html?url=http://wwwaudiblekids.com/&token=9831096f
wwwzoox.com,200,200,
ytwitchcon.com,200,,https://www.twitchcon.com/
zoox-internal.com,200,,
zoox-internal.net,200,,
zoox-internal.org,200,,
zoox.com,200,200,https://zoox.com/
zoox.design,200,200,
zoox.live,200,200,
zooxairbot.ai,200,,
zooxairbot.com,200,,
zooxairbot.jp,200,,
zooxapp.biz,200,,
zooxapp.com,200,,
zooxapp.net,200,,
zooxapp.org,200,,
zooxapps.biz,200,,
zooxapps.net,200,,
zooxapps.org,200,,
zooxauto.ai,200,200,https://zoox.com/
zooxauto.io,200,200,https://zoox.com/
zooxautomation.com,200,,http://comingsoon.markmonitor.com/
zooxautomobile.ai,200,200,https://zoox.com/
zooxbestdriver.com,200,,
zooxblocksbikes.com,200,,
zooxbot.com,200,,
zooxcandrive.com,200,,
zooxcantdrive.com,200,,
zooxcargobot.ai,200,,
zooxcargobot.com,200,,
zooxcargobot.jp,200,,
zooxcars.ai,200,200,https://zoox.com/
zooxcars.io,200,200,https://zoox.com/
zooxclassactionlawsuit.com,200,,
zooxclassactionlawsuit.info,200,,
zooxclassactionlawsuit.net,200,,
zooxclassactionlawsuit.org,200,,
zooxclassactionlawyer.com,200,,
zooxclassactionlawyer.info,200,,
zooxclassactionlawyer.net,200,,
zooxclassactionlawyer.org,200,,
zooxcom.com,200,200,
zooxcontests.com,200,,
zooxcrash.com,200,,
zooxcrashes.com,200,,
zooxdata.ai,200,200,https://zoox.com/
zooxdata.io,200,200,https://zoox.com/
zooxdata.net,200,200,https://zoox.com/
zooxdoox.com,200,,
zooxdriverless.com,200,,https://www.safebrowse.io/warn.html?url=http://zooxdriverless.com/&token=7c2a03d2
zooxdropbot.ai,200,,
zooxdropbot.com,200,,
zooxdropbot.jp,200,,
zooxexobot.ai,200,200,
zooxexobot.com,200,200,
zooxexobot.jp,200,200,
zooxfidicuiarybreach.com,200,,
zooxfidicuiarybreach.info,200,,
zooxfidicuiarybreach.net,200,,
zooxfidicuiarybreach.org,200,,
zooxgiveaways.com,200,,
zooxinsider.ai,200,200,https://zoox.com/
zooxinsider.io,200,200,https://zoox.com/
zooxinsider.net,200,200,https://zoox.com/
zooxinternal.com,200,,
zooxinternal.net,200,,
zooxinternal.org,200,,
zooxinthebikelane.com,200,,
zooxisbad.com,200,,
zooxisdangerous.com,200,,
zooxkills.com,200,,
zooxlabs.ai,200,200,https://zoox.com/
zooxlabs.io,200,200,https://zoox.com/
zooxlabs.net,200,200,https://zoox.com/
zooxmobility.ai,200,200,https://zoox.com/
zooxmobility.io,200,200,https://zoox.com/
zooxmobot.ai,200,,
zooxmobot.jp,200,,
zooxsanfrancisco.com,200,,
zooxsf.com,200,,
zooxsolbot.ai,200,,
zooxsolbot.com,200,,
zooxsolbot.jp,200,,
zooxsoox.com,200,,
zooxstore.com,200,403,https://zooxstore.com/
zooxsux.com,200,,
zooxsweeps.com,200,,
zooxsweepstakes.com,200,,
zooxunsafe.com,200,,
zooxy.ai,200,200,https://zoox.com/
zooxy.io,200,200,https://zoox.com/
zooxy.net,200,200,https://zoox.com/
