account,apex_domain_count
"Egnyte, Inc",3
LegalShield,455
Jitterbit,12
ShipBob,5
Symphony,40
Gainsight,8
Integral Ad Science,101
Flywire Corporation,38
"TaskRabbit, Inc.",36
Khoros,10
Weedmaps,25
Turo,22
Salsify,20
GoodRx,11
LegalZoom,1124
Alliant Credit Union,37
MSNBC,1
Car and Driver,6
Insurance Office of America Inc,4
SoulCycle,33
Universal Parks & Resorts,1294
Humana,4113
American Express,6678
Southwest Airlines,1169
ServiceTitan,15
"NBCUniversal Media, Inc.",1
Heartland Dental,22
Citi,2865
AAA National,1252
Moody's Corporation,76
McGraw Hill,423
Amazon,2604
"Anthropic, PBC",237
"Confluent, Inc.",268
On Location Experiences companies,1
UFC,97
"Cloud Cover Media, Inc.",4
"C3 Presents, LLC",4
Front Gate Tickets,1
NVIDIA,230
"Poetic Digital, LLC",4
Procter & Gamble,7837
Rakuten Symphony Singapore Pte. Ltd.,1
Rakuten,2997
OwnData,41
Salesforce Inc on behalf of Slack Technologies LLC,258
"Qualified.com, Inc.",2
Salesforce,267
"Spin Master, Ltd.",777
Starbucks,1338
WayUp,4
Spoonflower,3
LoanStream Mortgage,1
ProShip Inc,14
Expensify,4
Cube Software,37
Patient IQ,2
Klover,3
Fiddler,42
Smartcar,4
Nucleus Security,1
Northern Bank & Trust Company,20
Nirvana Insurance,2
Skyhawk Therapeutics,1
iDrive Logistics,1
AirOps,1
Fireworks AI,2
Coastal Debt,1
Caribou,12
The Sporting News,6
