account,total,content_loaded,has_html,pct_loaded
AAA National,1252,419,432,33.5
AirOps,1,1,1,100.0
Alliant Credit Union,37,27,30,73.0
Amazon,2604,1458,1515,56.0
American Express,6678,189,235,2.8
"Anthropic, PBC",237,75,98,31.6
"C3 Presents, LLC",4,1,1,25.0
Car and Driver,6,5,5,83.3
Caribou,12,5,6,41.7
Citi,2865,1081,1118,37.7
"Cloud Cover Media, Inc.",4,4,4,100.0
Coastal Debt,1,0,0,0.0
"Confluent, Inc.",268,140,156,52.2
Cube Software,37,22,24,59.5
"Egnyte, Inc",3,1,1,33.3
Expensify,4,4,4,100.0
Fiddler,42,17,19,40.5
Fireworks AI,2,1,2,50.0
Flywire Corporation,38,29,30,76.3
Front Gate Tickets,1,0,0,0.0
Gainsight,8,0,0,0.0
GoodRx,11,7,7,63.6
Heartland Dental,22,0,0,0.0
Humana,4113,867,1837,21.1
Insurance Office of America Inc,4,3,3,75.0
Integral Ad Science,101,27,27,26.7
Jitterbit,12,9,9,75.0
Khoros,10,2,2,20.0
Klover,3,1,1,33.3
LegalShield,455,29,32,6.4
LegalZoom,1124,138,145,12.3
LoanStream Mortgage,1,1,1,100.0
MSNBC,1,0,0,0.0
McGraw Hill,423,41,52,9.7
Moody's Corporation,76,22,27,28.9
"NBCUniversal Media, Inc.",1,0,0,0.0
NVIDIA,230,111,117,48.3
Nirvana Insurance,2,2,2,100.0
Northern Bank & Trust Company,20,2,3,10.0
Nucleus Security,1,1,1,100.0
On Location Experiences companies,1,1,1,100.0
OwnData,41,15,16,36.6
Patient IQ,2,2,2,100.0
"Poetic Digital, LLC",4,1,1,25.0
ProShip Inc,14,9,9,64.3
Procter & Gamble,7837,1844,2369,23.5
"Qualified.com, Inc.",2,1,1,50.0
Rakuten,2997,608,619,20.3
Rakuten Symphony Singapore Pte. Ltd.,1,1,1,100.0
Salesforce,267,107,131,40.1
Salesforce Inc on behalf of Slack Technologies LLC,258,119,128,46.1
Salsify,20,3,3,15.0
ServiceTitan,15,8,9,53.3
ShipBob,5,4,4,80.0
Skyhawk Therapeutics,1,1,1,100.0
Smartcar,4,1,1,25.0
SoulCycle,33,0,0,0.0
Southwest Airlines,1169,974,991,83.3
"Spin Master, Ltd.",777,61,63,7.9
Spoonflower,3,0,0,0.0
Starbucks,1338,549,749,41.0
Symphony,40,30,31,75.0
"TaskRabbit, Inc.",36,11,12,30.6
The Sporting News,6,4,4,66.7
Turo,22,1,13,4.5
UFC,97,6,6,6.2
Universal Parks & Resorts,1294,91,74,7.0
WayUp,4,2,2,50.0
Weedmaps,25,1,1,4.0
iDrive Logistics,1,0,0,0.0
